模式_mode,上下文_context,层_layer,批次_batch,重复次数_repeats,平均硬件吞吐_tokens_per_second,最大绝对误差_max_abs_error,MAE,RMSE,余弦相似度_cosine_similarity,NaN或Inf数量_nan_or_inf,严格违规数_atol0.02_rtol0.002,Thor源清单SHA256_source_manifest_sha256,回放载荷清单SHA256_payload_manifest_sha256,版本标识_release_identity,传输与载荷路径,原始串口日志,状态_status,备注
decode,128,0,1,3,8381.382631,0.00011395663,3.55104024e-06,6.71186261e-06,0.999999690618,0,0,9543ff8cfebe2e90823227b99f08b7b0876a97aa1306ce2e6ab04bba99a11afa,23e0fc0128b4eeebddcd4c297ea4d4cab5a0f84309416a2570178c182f21991b,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","完整 Q/K/V/Golden 串口 gzip 传输","GQAv7.3\\data\\当前有效数据\\Thor_真实Llama3_8B_Golden_20260806\\fpga_real_replay\\decode_context_128\\layer_00\\serial_gzip_transport_validation_v2.log",PASS,"canonical 为 gzip v2；单层、device-resident、attention-only"
decode,4096,0,1,3,615.974984,6.6947192e-05,3.46459823e-06,6.88123477e-06,0.999999654349,0,0,e5da036dc37e7689ecb97d2c9ec0214cff94236d849ab9b72fb72cff66dbaaa5,4697bb87ba2111f667401d0812ab1b2516b9cfcf3b35ed9dec4e192fea791d56,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","K/V 经 JTAG 预装并逐段读回 SHA-256 验证；Q 与 Golden 串口 gzip","GQAv7.3\\data\\当前有效数据\\Thor_真实Llama3_8B_Golden_20260806\\fpga_real_replay\\decode_context_4096\\layer_00\\serial_jtag_kv.log",PASS,"单层、device-resident、attention-only"
decode,4096,15,1,3,615.999741,0.000419124961,2.69104182e-05,4.61698554e-05,0.999999878862,0,0,e5da036dc37e7689ecb97d2c9ec0214cff94236d849ab9b72fb72cff66dbaaa5,b37d5c0dd17a3a418535d93a4f3ac31f8f8db397a80a2cc5d4d94580e7c3a631,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","K/V 经 JTAG 预装并逐段读回 SHA-256 验证；Q 与 Golden 串口 gzip","GQAv7.3\\data\\当前有效数据\\Thor_真实Llama3_8B_Golden_20260806\\fpga_real_replay\\decode_context_4096\\layer_15\\serial_jtag_kv.log",PASS,"单层、device-resident、attention-only"
decode,4096,31,1,3,615.969063,0.00255948305,8.88363296e-05,0.000194359344,0.999999742038,0,0,e5da036dc37e7689ecb97d2c9ec0214cff94236d849ab9b72fb72cff66dbaaa5,9e952aa793b6f0485aae23e03e9b9621d517a99daa7ff71a0f1c52669d34574d,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","K/V 经 JTAG 预装并逐段读回 SHA-256 验证；Q 与 Golden 串口 gzip","GQAv7.3\\data\\当前有效数据\\Thor_真实Llama3_8B_Golden_20260806\\fpga_real_replay\\decode_context_4096\\layer_31\\serial_jtag_kv.log",PASS,"单层、device-resident、attention-only"
decode,8192,0,1,3,314.768257,5.33312559e-05,2.96926559e-06,6.10298396e-06,0.999999879764,0,0,1b4719f80e9dbd27c472a15ad48b39d0499601715b008d6aa5da811cae3281e3,5f2bd1dbe8639996070a99b09a5d829db249c4815c9b45241a75b39038cb515c,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","K/V 经 JTAG 预装并逐段读回 SHA-256 验证；Q 与 Golden 串口 gzip","GQAv7.3\\data\\当前有效数据\\Thor_真实Llama3_8B_Golden_20260806\\fpga_real_replay\\decode_context_8192\\layer_00\\serial_jtag_kv.log",PASS,"单层、device-resident、attention-only"
decode,8192,15,1,3,314.851899,0.000416342169,3.233607e-05,5.76283943e-05,0.999999858181,0,0,1b4719f80e9dbd27c472a15ad48b39d0499601715b008d6aa5da811cae3281e3,64d57ee7c120f607e3f290b1da4ae7405a45c155fbf2eec1649c44cf4993582a,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","K/V 经 JTAG 预装并逐段读回 SHA-256 验证；Q 与 Golden 串口 gzip","GQAv7.3\\data\\当前有效数据\\FPGA_GQAv7_v7_3_真实Llama3_8B_20260806\\fpga_real_replay\\decode_context_8192\\layer_15\\serial_jtag_kv_attempt_02.log",PASS,"单层、device-resident、attention-only；attempt_01 为未进入板端命令的交互凭据超时，不纳入结果"
decode,8192,31,1,3,314.801146,0.00182551146,8.81739848e-05,0.000170800359,0.999999838804,0,0,1b4719f80e9dbd27c472a15ad48b39d0499601715b008d6aa5da811cae3281e3,29ec0a3fb14725574bf18f4654b2c691d3d6db1a2714cafd3d58b6a6db72dea3,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","K/V 经 JTAG 预装并逐段读回 SHA-256 验证；Q 与 Golden 串口 gzip","GQAv7.3\\data\\当前有效数据\\FPGA_GQAv7_v7_3_真实Llama3_8B_20260806\\fpga_real_replay\\decode_context_8192\\layer_31\\serial_jtag_kv.log",PASS,"单层、device-resident、attention-only"
prefill,128,0,1,1,7323.003873,0.000250309706,3.7938727e-06,7.85742581e-06,0.99999949217,0,0,99b1c1a2f7c13c6867ed766ae2ad4a6956cfdb8f095d35f509a468c2a58d262c,f86c0aee07aea788debd76fe91b9180be9e6175e7f10f280dd0122abe94cf750,"GQAv7.3; XCZU19EG Z19-P; core=235MHz; DMA=300MHz; 512-bit 双DMA; build=0x56370002","完整 Q/K/V/Golden 串口 gzip 传输","GQAv7.3\\data\\当前有效数据\\FPGA_GQAv7_v7_3_真实Llama3_8B_20260806\\fpga_real_replay\\prefill_context_128\\layer_00\\serial.log",PASS,"单层、device-resident、attention-only；完整因果 Prefill"
